"ID State","State","ID HAI","HAI","ID Event Year","Event Year","ID Hospital","Hospital","Observed Infections","Predicted Infections","Standardized Infection Ratio","Lower CI","Upper CI"
"1","Alabama","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",292,223.567,"1.31","1.16","1.46"
"2","Alaska","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",18,21.648,"0.83","0.51","1.29"
"4","Arizona","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",178,192.673,"0.92","0.80","1.07"
"5","Arkansas","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",138,113.189,"1.22","1.03","1.44"
"6","California","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",839,934.242,"0.90","0.84","0.96"
"8","Colorado","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",102,139.699,"0.73","0.60","0.88"
"9","Connecticut","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",84,102.854,"0.82","0.66","1.01"
"10","Delaware","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",38,46.773,"0.81","0.58","1.10"
"11","District of Columbia","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",44,58.566,"0.75","0.55","1.00"
"12","Florida","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",814,870.517,"0.94","0.87","1.00"
"13","Georgia","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",391,376.398,"1.04","0.94","1.15"
"66","Guam","MRSA","MRSA",,"2022","109","General Acute Care Hospitals","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data"
"15","Hawaii","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",25,39.738,"0.63","0.42","0.92"
"16","Idaho","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",15,31.167,"0.48","0.28","0.78"
"17","Illinois","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",278,371.359,"0.75","0.66","0.84"
"18","Indiana","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",172,197.054,"0.87","0.75","1.01"
"19","Iowa","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",91,94.322,"0.97","0.78","1.18"
"20","Kansas","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",42,77.5,"0.54","0.40","0.73"
"21","Kentucky","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",221,205.669,"1.08","0.94","1.22"
"22","Louisiana","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",214,176.279,"1.21","1.06","1.39"
"23","Maine","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",33,43.476,"0.76","0.53","1.05"
"24","Maryland","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",158,205.967,"0.77","0.65","0.89"
"25","Massachusetts","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",177,268.699,"0.66","0.57","0.76"
"26","Michigan","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",324,339.457,"0.95","0.85","1.06"
"27","Minnesota","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",74,140.814,"0.53","0.42","0.66"
"28","Mississippi","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",143,112.435,"1.27","1.08","1.49"
"29","Missouri","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",234,251.518,"0.93","0.82","1.06"
"30","Montana","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",10,22.823,"0.44","0.22","0.78"
"31","Nebraska","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",34,59.16,"0.58","0.40","0.79"
"32","Nevada","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",102,106.402,"0.96","0.79","1.16"
"33","New Hampshire","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",17,37.11,"0.46","0.28","0.72"
"34","New Jersey","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",282,282.915,"1.00","0.89","1.12"
"35","New Mexico","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",39,48.994,"0.80","0.57","1.08"
"36","New York","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",741,748.382,"0.99","0.92","1.06"
"37","North Carolina","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",372,419.295,"0.89","0.80","0.98"
"38","North Dakota","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",11,23.425,"0.47","0.25","0.82"
"39","Ohio","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",442,465.242,"0.95","0.86","1.04"
"40","Oklahoma","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",146,133.462,"1.09","0.93","1.28"
"41","Oregon","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",93,109.601,"0.85","0.69","1.03"
"42","Pennsylvania","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",429,508.353,"0.84","0.77","0.93"
"72","Puerto Rico","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",4,17.638,"0.23","0.07","0.55"
"44","Rhode Island","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",25,35.243,"0.71","0.47","1.03"
"45","South Carolina","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",221,206.078,"1.07","0.94","1.22"
"46","South Dakota","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",21,33.052,"0.64","0.40","0.95"
"47","Tennessee","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",353,307.662,"1.15","1.03","1.27"
"48","Texas","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",727,906.683,"0.80","0.75","0.86"
"49","Utah","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",33,61.314,"0.54","0.38","0.75"
"50","Vermont","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",7,19.533,"0.36","0.16","0.71"
"78","Virgin Islands","MRSA","MRSA",,"2022","109","General Acute Care Hospitals","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data"
"51","Virginia","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",222,240.593,"0.92","0.81","1.05"
"53","Washington","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",162,201.337,"0.81","0.69","0.94"
"54","West Virginia","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",112,90.163,"1.24","1.03","1.49"
"55","Wisconsin","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",81,148.866,"0.54","0.43","0.67"
"56","Wyoming","MRSA","MRSA","307","2022","109","General Acute Care Hospitals",5,5.226,"0.96","0.35","2.12"